Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
0.000000000000000e+000,1.005074428512638e+000,-3.774758283725532e-015,1.005074428512638e+000
2.564102564102564e-002,1.020520178938575e+000,6.013127773485394e-010,1.020520178938575e+000
5.128205128205128e-002,1.034942062786571e+000,6.013869402465844e-010,1.034942062786571e+000
7.692307692307693e-002,1.048357746558202e+000,6.013862741127696e-010,1.048357746558202e+000
1.025641025641026e-001,1.060784843176670e+000,6.013867182019794e-010,1.060784843176670e+000
1.282051282051282e-001,1.072240933475754e+000,6.013873843357942e-010,1.072240933475754e+000
1.538461538461538e-001,1.082743586042633e+000,6.013869402465844e-010,1.082743586042633e+000
1.794871794871795e-001,1.092310375609944e+000,6.013864961573745e-010,1.092310375609944e+000
2.051282051282051e-001,1.100958900106021e+000,6.013869402465844e-010,1.100958900106021e+000
2.307692307692307e-001,1.108706796466551e+000,6.013869402465844e-010,1.108706796466551e+000
2.564102564102564e-001,1.115571755306256e+000,6.013871622911893e-010,1.115571755306256e+000
2.820512820512821e-001,1.121571534527558e+000,6.013864961573745e-010,1.121571534527558e+000
3.076923076923077e-001,1.126723972003829e+000,6.013862741127696e-010,1.126723972003829e+000
3.333333333333334e-001,1.131046997467414e+000,6.013862741127696e-010,1.131046997467414e+000
3.589743589743590e-001,1.134558643422620e+000,6.013858300235597e-010,1.134558643422620e+000
3.846153846153847e-001,1.137277055535790e+000,6.013864961573745e-010,1.137277055535790e+000
4.102564102564104e-001,1.139220502377198e+000,6.013864961573745e-010,1.139220502377198e+000
4.358974358974360e-001,1.140407384650214e+000,6.013864961573745e-010,1.140407384650214e+000
4.615384615384617e-001,1.140856301568784e+000,6.013869402465844e-010,1.140856301568784e+000
4.871794871794873e-001,1.140585826868070e+000,6.013871622911893e-010,1.140585826868070e+000
5.128205128205130e-001,1.139614869272512e+000,6.013871622911893e-010,1.139614869272512e+000
5.384615384615387e-001,1.137962443278000e+000,6.013862741127696e-010,1.137962443278000e+000
5.641025641025643e-001,1.135647740478428e+000,6.013862741127696e-010,1.135647740478428e+000
5.897435897435900e-001,1.132690128825049e+000,6.013871622911893e-010,1.132690128825049e+000
6.153846153846156e-001,1.129109168091195e+000,6.013873843357942e-010,1.129109168091195e+000
6.410256410256413e-001,1.124924618507243e+000,6.013873843357942e-010,1.124924618507243e+000
6.666666666666670e-001,1.120156448860044e+000,6.013867182019794e-010,1.120156448860044e+000
6.923076923076926e-001,1.114824846455764e+000,6.013867182019794e-010,1.114824846455764e+000
7.179487179487183e-001,1.108950227943612e+000,6.013864961573745e-010,1.108950227943612e+000
7.435897435897440e-001,1.102553251207399e+000,6.013864961573745e-010,1.102553251207399e+000
7.692307692307696e-001,1.095654828764091e+000,6.013860520681646e-010,1.095654828764091e+000
7.948717948717953e-001,1.088276149359967e+000,6.013864961573745e-010,1.088276149359967e+000
8.205128205128209e-001,1.080438677742598e+000,6.013869402465844e-010,1.080438677742598e+000
8.461538461538466e-001,1.072164183264213e+000,6.013878284250041e-010,1.072164183264213e+000
8.717948717948723e-001,1.063474762282043e+000,6.013864961573745e-010,1.063474762282043e+000
8.974358974358979e-001,1.054392863682765e+000,6.013869402465844e-010,1.054392863682765e+000
9.230769230769236e-001,1.044941314885478e+000,6.013864961573745e-010,1.044941314885478e+000
9.487179487179492e-001,1.035143354051443e+000,6.013860520681646e-010,1.035143354051443e+000
9.743589743589749e-001,1.025022667359350e+000,6.013864961573745e-010,1.025022667359350e+000
1.000000000000000e+000,1.014603431881622e+000,6.013856079789548e-010,1.014603431881622e+000
