Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
0.000000000000000e+000,1.082717097548152e+000,-3.774758283725532e-015,1.082717097548152e+000
9.174311926605505e-003,1.089200976922292e+000,3.527178549234122e-012,1.089200976922292e+000
1.834862385321101e-002,1.095541382917794e+000,3.527844683048897e-012,1.095541382917794e+000
2.752293577981652e-002,1.101739217389523e+000,3.527178549234122e-012,1.101739217389523e+000
3.669724770642202e-002,1.107795380687040e+000,3.527844683048897e-012,1.107795380687040e+000
4.587155963302753e-002,1.113710771817630e+000,3.527622638443972e-012,1.113710771817630e+000
5.504587155963303e-002,1.119486288604791e+000,3.527178549234122e-012,1.119486288604791e+000
6.422018348623854e-002,1.125122827842760e+000,3.526956504629197e-012,1.125122827842760e+000
7.339449541284404e-002,1.130621285446303e+000,3.527178549234122e-012,1.130621285446303e+000
8.256880733944955e-002,1.135982556600257e+000,3.527400593839047e-012,1.135982556600257e+000
9.174311926605505e-002,1.141207535900686e+000,3.527178549234122e-012,1.141207535900686e+000
1.009174311926606e-001,1.146297117495112e+000,3.527178549234122e-012,1.146297117495112e+000
1.100917431192661e-001,1.151252195219152e+000,3.527178549234122e-012,1.151252195219152e+000
1.192660550458716e-001,1.156073662729677e+000,3.527178549234122e-012,1.156073662729677e+000
1.284403669724771e-001,1.160762413634754e+000,3.527400593839047e-012,1.160762413634754e+000
1.376146788990826e-001,1.165319341620503e+000,3.527844683048897e-012,1.165319341620503e+000
1.467889908256881e-001,1.169745340574933e+000,3.526734460024272e-012,1.169745340574933e+000
1.559633027522936e-001,1.174041304708850e+000,3.527622638443972e-012,1.174041304708850e+000
1.651376146788991e-001,1.178208128673999e+000,3.527400593839047e-012,1.178208128673999e+000
1.743119266055046e-001,1.182246707678402e+000,3.527400593839047e-012,1.182246707678402e+000
1.834862385321101e-001,1.186157937599136e+000,3.526956504629197e-012,1.186157937599136e+000
1.926605504587156e-001,1.189942715092500e+000,3.526734460024272e-012,1.189942715092500e+000
2.018348623853211e-001,1.193601937701762e+000,3.527178549234122e-012,1.193601937701762e+000
2.110091743119266e-001,1.197136503940573e+000,3.527178549234122e-012,1.197136503940573e+000
2.201834862385321e-001,1.200547313452673e+000,3.526956504629197e-012,1.200547313452673e+000
2.293577981651376e-001,1.203835267075121e+000,3.527400593839047e-012,1.203835267075121e+000
2.385321100917431e-001,1.207001266930339e+000,3.527400593839047e-012,1.207001266930339e+000
2.477064220183486e-001,1.210046216532567e+000,3.528066727653823e-012,1.210046216532567e+000
2.568807339449541e-001,1.212971020882657e+000,3.527400593839047e-012,1.212971020882657e+000
2.660550458715597e-001,1.215776586561008e+000,3.527400593839047e-012,1.215776586561008e+000
2.752293577981652e-001,1.218463821818761e+000,3.527400593839047e-012,1.218463821818761e+000
2.844036697247707e-001,1.221033636667244e+000,3.527844683048897e-012,1.221033636667244e+000
2.935779816513762e-001,1.223486942965875e+000,3.527178549234122e-012,1.223486942965875e+000
3.027522935779817e-001,1.225824654508489e+000,3.527400593839047e-012,1.225824654508489e+000
3.119266055045872e-001,1.228047687107647e+000,3.527178549234122e-012,1.228047687107647e+000
3.211009174311927e-001,1.230156958678858e+000,3.526956504629197e-012,1.230156958678858e+000
3.302752293577982e-001,1.232153389324477e+000,3.526956504629197e-012,1.232153389324477e+000
3.394495412844037e-001,1.234037901412072e+000,3.527178549234122e-012,1.234037901412072e+000
3.486238532110092e-001,1.235811419655503e+000,3.526734460024272e-012,1.235811419655503e+000
3.577981651376147e-001,1.237474871193932e+000,3.527622638443972e-012,1.237474871193932e+000
3.669724770642202e-001,1.239029185669902e+000,3.527622638443972e-012,1.239029185669902e+000
3.761467889908257e-001,1.240475295306585e+000,3.527622638443972e-012,1.240475295306585e+000
3.853211009174312e-001,1.241814134984267e+000,3.526512415419347e-012,1.241814134984267e+000
3.944954128440367e-001,1.243046642318713e+000,3.527622638443972e-012,1.243046642318713e+000
4.036697247706422e-001,1.244173757758805e+000,3.527178549234122e-012,1.244173757758805e+000
4.128440366972477e-001,1.245196424578363e+000,3.526734460024272e-012,1.245196424578363e+000
4.220183486238532e-001,1.246115589039520e+000,3.527178549234122e-012,1.246115589039520e+000
4.311926605504587e-001,1.246932200436113e+000,3.526734460024272e-012,1.246932200436113e+000
4.403669724770642e-001,1.247647211167698e+000,3.526956504629197e-012,1.247647211167698e+000
4.495412844036698e-001,1.248261576813475e+000,3.527178549234122e-012,1.248261576813475e+000
4.587155963302753e-001,1.248776256206253e+000,3.527622638443972e-012,1.248776256206253e+000
4.678899082568808e-001,1.249192211506553e+000,3.526956504629197e-012,1.249192211506553e+000
4.770642201834863e-001,1.249510408276948e+000,3.526734460024272e-012,1.249510408276948e+000
4.862385321100918e-001,1.249731815556784e+000,3.527400593839047e-012,1.249731815556784e+000
4.954128440366973e-001,1.249857405937368e+000,3.527178549234122e-012,1.249857405937368e+000
5.045871559633028e-001,1.249888155637709e+000,3.526512415419347e-012,1.249888155637709e+000
5.137614678899083e-001,1.249825044581022e+000,3.526956504629197e-012,1.249825044581022e+000
5.229357798165137e-001,1.249669056472059e+000,3.527622638443972e-012,1.249669056472059e+000
5.321100917431192e-001,1.249421178875381e+000,3.527178549234122e-012,1.249421178875381e+000
5.412844036697246e-001,1.249082403294740e+000,3.527844683048897e-012,1.249082403294740e+000
5.504587155963301e-001,1.248653725253717e+000,3.527178549234122e-012,1.248653725253717e+000
5.596330275229355e-001,1.248136144377702e+000,3.527178549234122e-012,1.248136144377702e+000
5.688073394495410e-001,1.247530664477444e+000,3.527178549234122e-012,1.247530664477444e+000
5.779816513761464e-001,1.246838293634233e+000,3.527178549234122e-012,1.246838293634233e+000
5.871559633027519e-001,1.246060044286940e+000,3.527178549234122e-012,1.246060044286940e+000
5.963302752293573e-001,1.245197022385761e+000,3.527178549234122e-012,1.245197022385761e+000
6.055045871559628e-001,1.244250072309681e+000,3.527178549234122e-012,1.244250072309681e+000
6.146788990825682e-001,1.243220308042822e+000,3.527178549234122e-012,1.243220308042822e+000
6.238532110091737e-001,1.242108760366838e+000,3.526956504629197e-012,1.242108760366838e+000
6.330275229357791e-001,1.240916464889570e+000,3.527400593839047e-012,1.240916464889570e+000
6.422018348623846e-001,1.239644462146824e+000,3.526956504629197e-012,1.239644462146824e+000
6.513761467889900e-001,1.238293797707145e+000,3.526956504629197e-012,1.238293797707145e+000
6.605504587155955e-001,1.236865522280000e+000,3.527844683048897e-012,1.236865522280000e+000
6.697247706422009e-001,1.235360691827524e+000,3.527400593839047e-012,1.235360691827524e+000
6.788990825688064e-001,1.233780367680032e+000,3.527178549234122e-012,1.233780367680032e+000
6.880733944954118e-001,1.232125616655598e+000,3.526956504629197e-012,1.232125616655598e+000
6.972477064220173e-001,1.230397511183935e+000,3.527622638443972e-012,1.230397511183935e+000
7.064220183486227e-001,1.228597129434812e+000,3.527178549234122e-012,1.228597129434812e+000
7.155963302752282e-001,1.226725555451369e+000,3.527844683048897e-012,1.226725555451369e+000
7.247706422018336e-001,1.224783879288549e+000,3.526956504629197e-012,1.224783879288549e+000
7.339449541284391e-001,1.222773197156952e+000,3.527844683048897e-012,1.222773197156952e+000
7.431192660550445e-001,1.220694615295775e+000,3.527400593839047e-012,1.220694615295775e+000
7.522935779816500e-001,1.218549240229516e+000,3.526956504629197e-012,1.218549240229516e+000
7.614678899082554e-001,1.216338188485293e+000,3.527844683048897e-012,1.216338188485293e+000
7.706422018348609e-001,1.214062580396700e+000,3.527400593839047e-012,1.214062580396700e+000
7.798165137614663e-001,1.211723545350556e+000,3.526956504629197e-012,1.211723545350556e+000
7.889908256880718e-001,1.209322219886103e+000,3.527400593839047e-012,1.209322219886103e+000
7.981651376146772e-001,1.206859747886989e+000,3.526956504629197e-012,1.206859747886989e+000
8.073394495412827e-001,1.204337280781792e+000,3.526956504629197e-012,1.204337280781792e+000
8.165137614678881e-001,1.201755977753534e+000,3.526956504629197e-012,1.201755977753534e+000
8.256880733944936e-001,1.199117005958652e+000,3.526956504629197e-012,1.199117005958652e+000
8.348623853210990e-001,1.196421540755962e+000,3.526956504629197e-012,1.196421540755962e+000
8.440366972477045e-001,1.193670765946269e+000,3.526956504629197e-012,1.193670765946269e+000
8.532110091743099e-001,1.190865874023010e+000,3.527400593839047e-012,1.190865874023010e+000
8.623853211009154e-001,1.188008066434725e+000,3.527400593839047e-012,1.188008066434725e+000
8.715596330275208e-001,1.185098337210606e+000,3.527844683048897e-012,1.185098337210606e+000
8.807339449541263e-001,1.182138329813008e+000,3.526956504629197e-012,1.182138329813008e+000
8.899082568807317e-001,1.179129067328215e+000,3.527400593839047e-012,1.179129067328215e+000
8.990825688073372e-001,1.176071789912011e+000,3.527400593839047e-012,1.176071789912011e+000
9.082568807339426e-001,1.172967748195589e+000,3.527400593839047e-012,1.172967748195589e+000
9.174311926605481e-001,1.169818203635262e+000,3.528288772258748e-012,1.169818203635262e+000
9.266055045871535e-001,1.166624428878711e+000,3.527400593839047e-012,1.166624428878711e+000
9.357798165137590e-001,1.163387708152785e+000,3.527400593839047e-012,1.163387708152785e+000
9.449541284403644e-001,1.160109337667155e+000,3.527844683048897e-012,1.160109337667155e+000
9.541284403669699e-001,1.156790626039675e+000,3.527400593839047e-012,1.156790626039675e+000
9.633027522935753e-001,1.153432894744332e+000,3.527400593839047e-012,1.153432894744332e+000
9.724770642201808e-001,1.150037478581865e+000,3.526956504629197e-012,1.150037478581865e+000
9.816513761467862e-001,1.146605726174805e+000,3.527844683048897e-012,1.146605726174805e+000
9.908256880733917e-001,1.143139000488442e+000,3.526956504629197e-012,1.143139000488442e+000
9.999999999999971e-001,1.139638679379491e+000,3.526956504629197e-012,1.139638679379491e+000
