Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
0.000000000000000e+000,1.034190429403951e+000,-3.774758283725532e-015,1.034190429403951e+000
2.564102564102564e-002,1.050504904118118e+000,6.013127773485394e-010,1.050504904118118e+000
5.128205128205128e-002,1.065763930282697e+000,6.013869402465844e-010,1.065763930282697e+000
7.692307692307693e-002,1.079985903774865e+000,6.013862741127696e-010,1.079985903774865e+000
1.025641025641026e-001,1.093189165346646e+000,6.013867182019794e-010,1.093189165346646e+000
1.282051282051282e-001,1.105392023385185e+000,6.013873843357942e-010,1.105392023385185e+000
1.538461538461538e-001,1.116612774989792e+000,6.013869402465844e-010,1.116612774989792e+000
1.794871794871795e-001,1.126869725572532e+000,6.013864961573745e-010,1.126869725572532e+000
2.051282051282051e-001,1.136181207098681e+000,6.013869402465844e-010,1.136181207098681e+000
2.307692307692307e-001,1.144565595077198e+000,6.013869402465844e-010,1.144565595077198e+000
2.564102564102564e-001,1.152041324380196e+000,6.013871622911893e-010,1.152041324380196e+000
2.820512820512821e-001,1.158626904096698e+000,6.013864961573745e-010,1.158626904096698e+000
3.076923076923077e-001,1.164340931436427e+000,6.013862741127696e-010,1.164340931436427e+000
3.333333333333334e-001,1.169202104651955e+000,6.013862741127696e-010,1.169202104651955e+000
3.589743589743590e-001,1.173229235359947e+000,6.013858300235597e-010,1.173229235359947e+000
3.846153846153847e-001,1.176441260169103e+000,6.013864961573745e-010,1.176441260169103e+000
4.102564102564104e-001,1.178857251757158e+000,6.013864961573745e-010,1.178857251757158e+000
4.358974358974360e-001,1.180496429496965e+000,6.013864961573745e-010,1.180496429496965e+000
4.615384615384617e-001,1.181378169734623e+000,6.013869402465844e-010,1.181378169734623e+000
4.871794871794873e-001,1.181522069049952e+000,6.013871622911893e-010,1.181522069049952e+000
5.128205128205130e-001,1.180947745111980e+000,6.013871622911893e-010,1.180947745111980e+000
5.384615384615387e-001,1.179675154090059e+000,6.013862741127696e-010,1.179675154090059e+000
5.641025641025643e-001,1.177724399913159e+000,6.013862741127696e-010,1.177724399913159e+000
5.897435897435900e-001,1.175115793619123e+000,6.013871622911893e-010,1.175115793619123e+000
6.153846153846156e-001,1.171869864033256e+000,6.013873843357942e-010,1.171869864033256e+000
6.410256410256413e-001,1.168007369015305e+000,6.013873843357942e-010,1.168007369015305e+000
6.666666666666670e-001,1.163549307455299e+000,6.013867182019794e-010,1.163549307455299e+000
6.923076923076926e-001,1.158516932218410e+000,6.013867182019794e-010,1.158516932218410e+000
7.179487179487183e-001,1.152931764262477e+000,6.013864961573745e-010,1.152931764262477e+000
7.435897435897440e-001,1.146815608179480e+000,6.013864961573745e-010,1.146815608179480e+000
7.692307692307696e-001,1.140190570920780e+000,6.013860520681646e-010,1.140190570920780e+000
7.948717948717953e-001,1.133079083578872e+000,6.013864961573745e-010,1.133079083578872e+000
8.205128205128209e-001,1.125503913125992e+000,6.013869402465844e-010,1.125503913125992e+000
8.461538461538466e-001,1.117488188197475e+000,6.013878284250041e-010,1.117488188197475e+000
8.717948717948723e-001,1.109055438347580e+000,6.013864961573745e-010,1.109055438347580e+000
8.974358974358979e-001,1.100229616309192e+000,6.013869402465844e-010,1.100229616309192e+000
9.230769230769236e-001,1.091035137387418e+000,6.013864961573745e-010,1.091035137387418e+000
9.487179487179492e-001,1.081496920827040e+000,6.013860520681646e-010,1.081496920827040e+000
9.743589743589749e-001,1.071640437915088e+000,6.013864961573745e-010,1.071640437915088e+000
1.000000000000000e+000,1.061491527077839e+000,6.013856079789548e-010,1.061491527077839e+000
