Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
0.000000000000000e+000,1.082717097548152e+000,-3.774758283725532e-015,1.082717097548152e+000
8.403361344537815e-003,1.088661647376599e+000,2.273736754432321e-012,1.088661647376599e+000
1.680672268907563e-002,1.094485760213826e+000,2.274402888247096e-012,1.094485760213826e+000
2.521008403361345e-002,1.100190129279044e+000,2.273736754432321e-012,1.100190129279044e+000
3.361344537815126e-002,1.105775446712462e+000,2.274180843642171e-012,1.105775446712462e+000
4.201680672268907e-002,1.111242403680945e+000,2.274624932852021e-012,1.111242403680945e+000
5.042016806722689e-002,1.116591690480971e+000,2.273958799037246e-012,1.116591690480971e+000
5.882352941176470e-002,1.121823996639207e+000,2.274180843642171e-012,1.121823996639207e+000
6.722689075630252e-002,1.126940011010634e+000,2.273958799037246e-012,1.126940011010634e+000
7.563025210084033e-002,1.131940421874326e+000,2.273736754432321e-012,1.131940421874326e+000
8.403361344537814e-002,1.136825917029279e+000,2.274402888247096e-012,1.136825917029279e+000
9.243697478991596e-002,1.141597183883890e+000,2.274402888247096e-012,1.141597183883890e+000
1.008403361344538e-001,1.146254909546497e+000,2.273958799037246e-012,1.146254909546497e+000
1.092436974789916e-001,1.150799780913142e+000,2.273736754432321e-012,1.150799780913142e+000
1.176470588235294e-001,1.155232484753294e+000,2.274180843642171e-012,1.155232484753294e+000
1.260504201680672e-001,1.159553707793795e+000,2.274846977456946e-012,1.159553707793795e+000
1.344537815126050e-001,1.163764136800870e+000,2.274180843642171e-012,1.163764136800870e+000
1.428571428571429e-001,1.167864458660396e+000,2.274624932852021e-012,1.167864458660396e+000
1.512605042016807e-001,1.171855360456450e+000,2.273958799037246e-012,1.171855360456450e+000
1.596638655462185e-001,1.175737529548124e+000,2.273958799037246e-012,1.175737529548124e+000
1.680672268907563e-001,1.179511653644754e+000,2.273736754432321e-012,1.179511653644754e+000
1.764705882352941e-001,1.183178420879540e+000,2.273736754432321e-012,1.183178420879540e+000
1.848739495798319e-001,1.186738519881631e+000,2.273958799037246e-012,1.186738519881631e+000
1.932773109243697e-001,1.190192639846734e+000,2.273736754432321e-012,1.190192639846734e+000
2.016806722689075e-001,1.193541470606274e+000,2.274402888247096e-012,1.193541470606274e+000
2.100840336134454e-001,1.196785702676372e+000,2.273958799037246e-012,1.196785702676372e+000
