Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
  0.000000000000000e+00,  1.043895836322541e+00, -1.850052688823212e-08,  1.043895836322541e+00
  2.564102564102564e-02,  1.060499812511084e+00,  6.011706688013874e-10,  1.060499812511084e+00
  5.128205128205128e-02,  1.076037886113977e+00,  6.013864961573745e-10,  1.076037886113977e+00
  7.692307692307693e-02,  1.090528622846327e+00,  6.013869402465843e-10,  1.090528622846327e+00
  1.025641025641026e-01,  1.103990606069209e+00,  6.013867182019794e-10,  1.103990606069209e+00
  1.282051282051282e-01,  1.116442386687569e+00,  6.013864961573745e-10,  1.116442386687569e+00
  1.538461538461539e-01,  1.127902504638087e+00,  6.013867182019794e-10,  1.127902504638087e+00
  1.794871794871795e-01,  1.138389508891496e+00,  6.013869402465843e-10,  1.138389508891496e+00
  2.051282051282051e-01,  1.147921976093390e+00,  6.013867182019794e-10,  1.147921976093390e+00
  2.307692307692308e-01,  1.156518527944614e+00,  6.013869402465843e-10,  1.156518527944614e+00
  2.564102564102564e-01,  1.164197847385383e+00,  6.013867182019794e-10,  1.164197847385383e+00
  2.820512820512820e-01,  1.170978693950501e+00,  6.013864961573745e-10,  1.170978693950501e+00
  3.076923076923077e-01,  1.176879917911407e+00,  6.013867182019794e-10,  1.176879917911407e+00
  3.333333333333333e-01,  1.181920473710934e+00,  6.013862741127696e-10,  1.181920473710934e+00
  3.589743589743590e-01,  1.186119432669869e+00,  6.013867182019794e-10,  1.186119432669869e+00
  3.846153846153846e-01,  1.189495995044367e+00,  6.013864961573745e-10,  1.189495995044367e+00
  4.102564102564102e-01,  1.192069501547977e+00,  6.013867182019794e-10,  1.192069501547977e+00
  4.358974358974359e-01,  1.193859444443385e+00,  6.013869402465843e-10,  1.193859444443385e+00
  4.615384615384616e-01,  1.194885478310908e+00,  6.013867182019794e-10,  1.194885478310908e+00
  4.871794871794872e-01,  1.195167430666568e+00,  6.013864961573745e-10,  1.195167430666568e+00
  5.128205128205128e-01,  1.194725312238195e+00,  6.013869402465843e-10,  1.194725312238195e+00
  5.384615384615384e-01,  1.193579391846606e+00,  6.013871622911893e-10,  1.193579391846606e+00
  5.641025641025641e-01,  1.191749953488793e+00,  6.013864961573745e-10,  1.191749953488793e+00
  5.897435897435898e-01,  1.189257682321525e+00,  6.013864961573745e-10,  1.189257682321525e+00
  6.153846153846154e-01,  1.186123429791569e+00,  6.013871622911893e-10,  1.186123429791569e+00
  6.410256410256411e-01,  1.182368286301730e+00,  6.013867182019794e-10,  1.182368286301730e+00
  6.666666666666666e-01,  1.178013594109694e+00,  6.013862741127696e-10,  1.178013594109694e+00
  6.923076923076923e-01,  1.173080961266937e+00,  6.013869402465843e-10,  1.173080961266937e+00
  7.179487179487180e-01,  1.167592276834203e+00,  6.013860520681646e-10,  1.167592276834203e+00
  7.435897435897436e-01,  1.161569727639588e+00,  6.013864961573745e-10,  1.161569727639588e+00
  7.692307692307693e-01,  1.155035820938854e+00,  6.013864961573745e-10,  1.155035820938854e+00
  7.948717948717948e-01,  1.148013400353896e+00,  6.013869402465843e-10,  1.148013400353896e+00
  8.205128205128205e-01,  1.140525664349566e+00,  6.013864961573745e-10,  1.140525664349566e+00
  8.461538461538461e-01,  1.132596197226699e+00,  6.013864961573745e-10,  1.132596197226699e+00
  8.717948717948718e-01,  1.124249004034541e+00,  6.013869402465843e-10,  1.124249004034541e+00
  8.974358974358975e-01,  1.115508540468796e+00,  6.013864961573745e-10,  1.115508540468796e+00
  9.230769230769231e-01,  1.106399752122091e+00,  6.013869402465843e-10,  1.106399752122091e+00
  9.487179487179487e-01,  1.096948118973154e+00,  6.013869402465843e-10,  1.096948118973154e+00
  9.743589743589743e-01,  1.087179466852037e+00,  6.013869402465843e-10,  1.087179466852037e+00
  1.000000000000000e+00,  1.077120957532880e+00,  6.013869402465843e-10,  1.077120957532880e+00
