Main.Study.t,Main.Study.FileOutput.MaxMusAct,Main.Study.FileOutput.ElbowAngle,Main.Study.FileOutput.BicepsLong
  0.000000000000000e+00,  1.014779832638311e+00, -1.850052688823212e-08,  1.014779832638311e+00
  2.564102564102564e-02,  1.030515087332657e+00,  6.011706688013874e-10,  1.030515087332657e+00
  5.128205128205128e-02,  1.045216018618981e+00,  6.013864961573745e-10,  1.045216018618981e+00
  7.692307692307693e-02,  1.058900465630790e+00,  6.013869402465843e-10,  1.058900465630790e+00
  1.025641025641026e-01,  1.071586283900357e+00,  6.013867182019794e-10,  1.071586283900357e+00
  1.282051282051282e-01,  1.083291296779260e+00,  6.013864961573745e-10,  1.083291296779260e+00
  1.538461538461539e-01,  1.094033315692049e+00,  6.013867182019794e-10,  1.094033315692049e+00
  1.794871794871795e-01,  1.103830158931164e+00,  6.013869402465843e-10,  1.103830158931164e+00
  2.051282051282051e-01,  1.112699669103927e+00,  6.013867182019794e-10,  1.112699669103927e+00
  2.307692307692308e-01,  1.120659729337277e+00,  6.013869402465843e-10,  1.120659729337277e+00
  2.564102564102564e-01,  1.127728278341445e+00,  6.013867182019794e-10,  1.127728278341445e+00
  2.820512820512820e-01,  1.133923324385261e+00,  6.013864961573745e-10,  1.133923324385261e+00
  3.076923076923077e-01,  1.139262958482677e+00,  6.013867182019794e-10,  1.139262958482677e+00
  3.333333333333333e-01,  1.143765366530233e+00,  6.013862741127696e-10,  1.143765366530233e+00
  3.589743589743590e-01,  1.147448840736360e+00,  6.013867182019794e-10,  1.147448840736360e+00
  3.846153846153846e-01,  1.150331790414852e+00,  6.013864961573745e-10,  1.150331790414852e+00
  4.102564102564102e-01,  1.152432752171803e+00,  6.013867182019794e-10,  1.152432752171803e+00
  4.358974358974359e-01,  1.153770399600411e+00,  6.013869402465843e-10,  1.153770399600411e+00
  4.615384615384616e-01,  1.154363552578348e+00,  6.013867182019794e-10,  1.154363552578348e+00
  4.871794871794872e-01,  1.154231240646822e+00,  6.013864961573745e-10,  1.154231240646822e+00
  5.128205128205128e-01,  1.153392492368503e+00,  6.013869402465843e-10,  1.153392492368503e+00
  5.384615384615384e-01,  1.151866679207243e+00,  6.013871622911893e-10,  1.151866679207243e+00
  5.641025641025641e-01,  1.149673293402700e+00,  6.013864961573745e-10,  1.149673293402700e+00
  5.897435897435898e-01,  1.146832016865108e+00,  6.013864961573745e-10,  1.146832016865108e+00
  6.153846153846154e-01,  1.143362733176724e+00,  6.013871622911893e-10,  1.143362733176724e+00
  6.410256410256411e-01,  1.139285535111083e+00,  6.013867182019794e-10,  1.139285535111083e+00
  6.666666666666666e-01,  1.134620734822773e+00,  6.013862741127696e-10,  1.134620734822773e+00
  6.923076923076923e-01,  1.129388874804301e+00,  6.013869402465843e-10,  1.129388874804301e+00
  7.179487179487180e-01,  1.123610739807760e+00,  6.013860520681646e-10,  1.123610739807760e+00
  7.435897435897436e-01,  1.117307369952980e+00,  6.013864961573745e-10,  1.117307369952980e+00
  7.692307692307693e-01,  1.110500075272144e+00,  6.013864961573745e-10,  1.110500075272144e+00
  7.948717948717948e-01,  1.103210458844769e+00,  6.013869402465843e-10,  1.103210458844769e+00
  8.205128205128205e-01,  1.095460421768071e+00,  6.013864961573745e-10,  1.095460421768071e+00
  8.461538461538461e-01,  1.087272184561051e+00,  6.013864961573745e-10,  1.087272184561051e+00
  8.717948717948718e-01,  1.078668320846330e+00,  6.013869402465843e-10,  1.078668320846330e+00
  8.974358974358975e-01,  1.069671781023986e+00,  6.013864961573745e-10,  1.069671781023986e+00
  9.230769230769231e-01,  1.060305922133589e+00,  6.013869402465843e-10,  1.060305922133589e+00
  9.487179487179487e-01,  1.050594542672928e+00,  6.013869402465843e-10,  1.050594542672928e+00
  9.743589743589743e-01,  1.040561923456887e+00,  6.013869402465843e-10,  1.040561923456887e+00
  1.000000000000000e+00,  1.030232874431057e+00,  6.013869402465843e-10,  1.030232874431057e+00
